timestamp_ms,value
1702327260950,4878
1702327260972,4894
1702327260992,4958
1702327261004,4958
1702327261022,4990
1702327261034,5018
1702327261065,5022
1702327261078,5022
1702327261095,5022
1702327261108,5022
1702327261120,5022
1702327261139,5022
1702327261152,5022
1702327261164,5038
1702327261182,5038
1702327261194,5038
1702327261226,5006
1702327261249,4986
1702327261268,4974
1702327261291,4926
1702327261321,4862
1702327261346,4822
1702327261368,4798
1702327261398,4734
1702327261418,4718
1702327261445,4694
1702327261471,4670
1702327261496,4638
1702327261534,4606
1702327261559,4558
1702327261579,4558
1702327261606,4510
1702327261642,4462
1702327261666,4438
1702327261689,4430
1702327261719,4382
1702327261749,4350
1702327261772,4310
1702327261792,4270
1702327261815,4318
1702327261847,4462
1702327261867,4510
1702327261897,4662
1702327261930,4766
1702327261955,4798
1702327261975,4830
1702327262009,4862
1702327262029,4926
1702327262059,4958
1702327262091,4958
1702327262116,4950
1702327262136,4950
1702327262156,4950
1702327262179,4958
1702327262198,4974
1702327262223,4982
1702327262266,4982
1702327262286,4990
1702327262306,4990
1702327262338,4990
1702327262358,4974
1702327262370,4974
1702327262383,4958
1702327262400,4958
1702327262414,4926
1702327262426,4926
1702327262455,4910
1702327262467,4894
1702327262480,4886
1702327262500,4862
1702327262518,4862
1702327262530,4854
1702327262543,4846
1702327262555,4830
1702327262575,4798
1702327262593,4814
1702327262616,4782
1702327262629,4774
1702327262659,4734
1702327262689,4702
1702327262714,4686
1702327262747,4650
1702327262778,4654
1702327262798,4654
1702327262828,4830
1702327262854,4942
1702327262892,5038
1702327262917,5150
1702327262937,5182
1702327262965,5246
1702327262999,5342
1702327263024,5374
1702327263052,5406
1702327263077,5422
1702327263097,5422
1702327263125,5406
1702327263151,5406
1702327263181,5406
1702327263214,5422
1702327263239,5422
1702327263254,5406
1702327263267,5398
1702327263280,5374
1702327263299,5374
1702327263312,5374
1702327263324,5366
1702327263353,5342
1702327263373,5342
1702327263381,5326
1702327263396,5302
1702327263408,5294
1702327263421,5294
1702327263438,5262
1702327263460,5246
1702327263473,5238
1702327263485,5230
1702327263514,5182
1702327263534,5182
1702327263546,5166
1702327263559,5150
1702327263576,5118
1702327263589,5118
1702327263604,5118
1702327263620,5102
1702327263633,5086
1702327263645,5070
1702327263674,5054
1702327263694,5050
1702327263706,5038
1702327263719,5034
1702327263736,5006
1702327263749,4990
1702327263769,4974
1702327263782,4950
1702327263794,4950
1702327263812,4926
1702327263835,4894
1702327263855,4862
1702327263868,4846
1702327263880,4830
1702327263898,4814
1702327263910,4798
1702327263931,4778
1702327263943,4766
1702327263955,4766
1702327263973,4734
1702327263996,4766
1702327264017,4822
1702327264029,4862
1702327264047,4910
1702327264059,5006
1702327264072,5054
1702327264092,5118
1702327264104,5166
1702327264122,5182
1702327264135,5238
1702327264158,5278
1702327264178,5310
1702327264191,5342
1702327264208,5374
1702327264221,5374
1702327264233,5406
1702327264253,5438
1702327264266,5438
1702327264284,5454
1702327264296,5438
1702327264320,5438
1702327264340,5422
1702327264357,5422
1702327264370,5406
1702327264382,5406
1702327264394,5406
1702327264415,5398
1702327264432,5398
1702327264445,5374
1702327264457,5374
1702327264488,5374
1702327264501,5358
1702327264518,5358
1702327264531,5342
1702327264543,5326
1702327264564,5302
1702327264576,5290
1702327264594,5246
1702327264606,5246
1702327264619,5242
1702327264650,5198
1702327264667,5182
1702327264680,5166
1702327264692,5118
1702327264710,5118
1702327264725,5102
1702327264743,5086
1702327264755,5070
1702327264767,5054
1702327264785,5038
1702327264806,5022
1702327264818,4990
1702327264831,4982
1702327264849,4958
1702327264861,4926
1702327264873,4918
1702327264894,4886
1702327264906,4862
1702327264924,4854
1702327264936,4814
1702327264960,4782
1702327264978,4734
1702327264991,4718
1702327265003,4718
1702327265021,4670
1702327265033,4670
1702327265054,4638
1702327265067,4606
1702327265084,4606
1702327265097,4574
1702327265123,4542
1702327265139,4502
1702327265151,4494
1702327265164,4470
1702327265181,4430
1702327265194,4398
1702327265214,4382
1702327265226,4382
1702327265239,4406
1702327265256,4458
1702327265280,4526
1702327265300,4606
1702327265312,4638
1702327265324,4662
1702327265342,4702
1702327265354,4702
1702327265374,4730
1702327265387,4750
1702327265406,4766
1702327265419,4766
1702327265445,4798
1702327265459,4830
1702327265472,4822
1702327265484,4830
1702327265502,4830
1702327265515,4830
1702327265534,4814
1702327265547,4814
1702327265559,4798
1702327265577,4814
1702327265603,4830
1702327265620,4830
1702327265633,4830
1702327265645,4830
1702327265663,4830
1702327265675,4822
1702327265695,4814
1702327265708,4798
1702327265725,4798
1702327265738,4798
1702327265769,4766
1702327265781,4758
1702327265794,4734
1702327265811,4734
1702327265824,4718
1702327265836,4702
1702327265856,4686
1702327265869,4670
1702327265886,4670
1702327265899,4638
1702327265930,4606
1702327265942,4598
1702327265955,4598
1702327265973,4566
1702327265985,4542
1702327265998,4542
1702327266018,4510
1702327266030,4502
1702327266048,4478
1702327266060,4470
1702327266091,4414
1702327266104,4414
1702327266121,4394
1702327266134,4350
1702327266146,4350
1702327266166,4334
1702327266179,4302
1702327266196,4278
1702327266209,4254
1702327266221,4238
1702327266254,4254
1702327266272,4318
1702327266284,4350
1702327266297,4382
1702327266314,4430
1702327266329,4478
1702327266346,4526
1702327266359,4542
1702327266371,4558
1702327266389,4574
1702327266415,4590
1702327266432,4590
1702327266445,4606
1702327266457,4606
1702327266475,4638
1702327266490,4638
1702327266508,4606
1702327266521,4638
1702327266538,4606
1702327266550,4606
1702327266582,4606
1702327266594,4606
1702327266607,4606
1702327266624,4606
1702327266637,4606
1702327266657,4606
1702327266669,4606
1702327266682,4606
1702327266699,4606
1702327266712,4590
1702327266743,4574
1702327266756,4574
1702327266768,4558
1702327266786,4542
1702327266798,4542
1702327266817,4510
1702327266830,4510
1702327266842,4502
1702327266860,4478
1702327266872,4470
1702327266904,4438
1702327266916,4430
1702327266929,4414
1702327266946,4398
1702327266959,4382
1702327266978,4350
1702327266991,4366
1702327267003,4350
1702327267021,4334
1702327267033,4302
1702327267064,4278
1702327267077,4270
1702327267094,4254
1702327267102,4238
1702327267117,4206
1702327267138,4190
1702327267151,4182
1702327267163,4158
1702327267181,4134
1702327267193,4126
1702327267225,4086
1702327267237,4074
1702327267249,4086
1702327267267,4094
1702327267279,4142
1702327267299,4238
1702327267311,4278
1702327267324,4310
1702327267341,4398
1702327267354,4430
1702327267385,4502
1702327267397,4526
1702327267415,4542
1702327267427,4590
1702327267443,4606
1702327267460,4638
1702327267472,4670
1702327267484,4686
1702327267502,4718
1702327267514,4734
1702327267545,4758
1702327267566,4758
1702327267578,4758
1702327267591,4766
1702327267606,4758
1702327267620,4766
1702327267632,4766
1702327267644,4782
1702327267662,4798
1702327267675,4798
1702327267701,4814
1702327267716,4798
1702327267728,4814
1702327267741,4798
1702327267758,4798
1702327267773,4790
1702327267791,4782
1702327267803,4778
1702327267816,4766
1702327267833,4758
1702327267864,4734
1702327267877,4718
1702327267889,4702
1702327267902,4702
1702327267919,4686
1702327267940,4670
1702327267952,4654
1702327267965,4638
1702327267982,4630
1702327267995,4606
1702327268026,4574
1702327268039,4566
1702327268051,4558
1702327268069,4534
1702327268083,4510
1702327268101,4494
1702327268113,4478
1702327268126,4474
1702327268143,4438
1702327268156,4430
1702327268187,4398
1702327268200,4382
1702327268217,4374
1702327268230,4350
1702327268250,4318
1702327268262,4302
1702327268275,4286
1702327268292,4270
1702327268305,4246
1702327268317,4222
1702327268348,4202
1702327268361,4190
1702327268378,4174
1702327268391,4158
1702327268404,4142
1702327268422,4094
1702327268434,4094
1702327268447,4094
1702327268464,4078
1702327268477,4062
1702327268508,4006
1702327268521,3998
1702327268538,3990
1702327268551,3958
1702327268564,3946
1702327268582,3926
1702327268594,3926
1702327268607,3918
1702327268624,3934
1702327268637,3998
1702327268668,4094
1702327268680,4158
1702327268693,4190
1702327268710,4246
1702327268730,4286
1702327268743,4318
1702327268756,4334
1702327268768,4342
1702327268785,4374
1702327268798,4382
1702327268819,4414
1702327268831,4438
1702327268849,4470
1702327268861,4478
1702327268874,4510
1702327268894,4506
1702327268907,4510
1702327268924,4478
1702327268937,4502
1702327268949,4494
1702327268970,4502
1702327268987,4494
1702327269000,4478
1702327269012,4478
1702327269030,4478
1702327269045,4494
1702327269063,4478
1702327269075,4494
1702327269088,4478
1702327269105,4478
1702327269127,4462
1702327269140,4446
1702327269152,4442
1702327269170,4414
1702327269182,4414
1702327269195,4398
1702327269215,4382
1702327269227,4374
1702327269245,4350
1702327269257,4334
1702327269283,4318
1702327269298,4286
1702327269311,4278
1702327269324,4270
1702327269341,4246
1702327269354,4238
1702327269374,4214
1702327269386,4202
1702327269399,4182
1702327269416,4158
1702327269443,4094
1702327269459,4094
1702327269472,4090
1702327269484,4078
1702327269502,4046
1702327269514,4030
1702327269534,4010
1702327269546,3994
1702327269559,3966
1702327269576,3950
1702327269603,3926
1702327269620,3886
1702327269632,3870
1702327269644,3838
1702327269662,3822
1702327269674,3806
1702327269695,3774
1702327269707,3758
1702327269719,3742
1702327269737,3710
1702327269768,3662
1702327269781,3638
1702327269793,3630
1702327269811,3630
1702327269823,3646
1702327269836,3690
1702327269856,3754
1702327269869,3774
1702327269886,3854
1702327269899,3886
1702327269930,3950
1702327269942,3950
1702327269955,3966
1702327269972,3982
1702327269985,3990
1702327269997,4014
1702327270017,4030
1702327270030,4030
1702327270047,4054
1702327270060,4062
1702327270091,4054
1702327270104,4046
1702327270121,4054
1702327270134,4046
1702327270146,4046
1702327270166,4062
1702327270179,4062
1702327270196,4062
1702327270209,4074
1702327270221,4062
1702327270252,4078
1702327270265,4078
1702327270282,4062
1702327270295,4062
1702327270307,4054
1702327270327,4046
1702327270345,4046
1702327270357,4030
1702327270370,4022
1702327270382,4022
1702327270414,3998
1702327270431,3998
1702327270444,3990
1702327270456,3966
1702327270474,3966
1702327270489,3950
1702327270506,3934
1702327270519,3926
1702327270531,3902
1702327270549,3902
1702327270575,3886
1702327270593,3870
1702327270605,3866
1702327270617,3838
1702327270635,3822
1702327270650,3822
1702327270668,3798
1702327270680,3790
1702327270693,3774
1702327270710,3758
1702327270741,3742
1702327270754,3710
1702327270766,3710
1702327270784,3694
1702327270796,3678
1702327270817,3646
1702327270830,3630
1702327270842,3630
1702327270860,3598
1702327270872,3582
1702327270903,3582
1702327270916,3582
1702327270933,3614
1702327270946,3694
1702327270958,3742
1702327270977,3838
1702327270990,3894
1702327271002,3934
1702327271020,4014
1702327271032,4030
1702327271064,4094
1702327271076,4126
1702327271088,4142
1702327271106,4190
1702327271118,4222
1702327271138,4286
1702327271150,4318
1702327271163,4318
1702327271180,4350
1702327271193,4378
1702327271224,4394
1702327271236,4394
1702327271254,4398
1702327271266,4406
1702327271279,4414
1702327271298,4430
1702327271311,4438
1702327271323,4442
1702327271341,4458
1702327271353,4454
1702327271384,4470
1702327271397,4462
1702327271414,4478
1702327271427,4462
1702327271442,4462
1702327271459,4462
1702327271471,4446
1702327271484,4442
1702327271501,4430
1702327271514,4430
1702327271545,4410
1702327271557,4406
1702327271570,4398
1702327271587,4382
1702327271602,4374
1702327271619,4350
1702327271632,4350
1702327271644,4350
1702327271662,4318
1702327271674,4318
1702327271705,4286
1702327271717,4270
1702327271730,4278
1702327271747,4254
1702327271768,4238
1702327271780,4222
1702327271793,4214
1702327271805,4190
1702327271823,4182
1702327271835,4158
1702327271866,4142
1702327271879,4126
1702327271896,4094
1702327271909,4094
1702327271929,4086
1702327271942,4078
1702327271954,4062
1702327271972,4030
1702327271984,4022
1702327271997,3998
1702327272028,3966
1702327272040,3950
1702327272058,3946
1702327272070,3918
1702327272091,3902
1702327272103,3886
